[2025-09-28 16:36:22] [WARNING ] discord.ext.commands.bot: Privileged message content intent is missing, commands may not work as expected.
[2025-09-28 16:36:22] [INFO    ] discord.client: logging in using static token
[2025-09-28 16:36:23] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'Cat RNG', 'primary_guild': None, 'mfa_enabled': False, 'id': '1421814639259553812', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '6560', 'clan': None, 'bot': True, 'avatar': '3ef3376ebde7767acced363761e456f7'}, 'session_type': 'normal', 'session_id': '73af3368cc02f13e470bf8e3a5aeeffa', 'resume_gateway_url': 'wss://gateway-us-east1-c.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1409226489517445161'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['stockholm', 'finland', 'rotterdam', 'warsaw', 'frankfurt'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1421814639259553812', 'flags': 8388608}, '_trace': ['["gateway-prd-arm-us-east1-c-r5w2",{"micros":117339,"calls":["id_created",{"micros":797,"calls":[]},"session_lookup_time",{"micros":393,"calls":[]},"session_lookup_finished",{"micros":13,"calls":[]},"discord-sessions-prd-2-89",{"micros":114895,"calls":["start_session",{"micros":97937,"calls":["discord-api-rpc-57bbf99c88-llndn",{"micros":51511,"calls":["get_user",{"micros":6509},"get_guilds",{"micros":6332},"send_scheduled_deletion_message",{"micros":17},"guild_join_requests",{"micros":3},"authorized_ip_coro",{"micros":14},"pending_payments",{"micros":36626},"apex_experiments",{"micros":2869},"user_activities",{"micros":10},"played_application_ids",{"micros":3}]}]},"starting_guild_connect",{"micros":36,"calls":[]},"presence_started",{"micros":445,"calls":[]},"guilds_started",{"micros":71,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":16301,"calls":[]},"connect_finished",{"micros":16389,"calls":[]},"build_ready",{"micros":13,"calls":[]},"clean_ready",{"micros":1,"calls":[]},"optimize_ready",{"micros":1,"calls":[]},"split_ready",{"micros":0,"calls":[]}]}]}]']}}
[2025-09-28 16:36:23] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-09-28 16:36:23] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: 73af3368cc02f13e470bf8e3a5aeeffa).
[2025-09-28 16:36:23] [DEBUG   ] discord.client: Dispatching event connect
[2025-09-28 16:36:23] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'joined_at': '2025-09-28T11:37:31.647000+00:00', 'afk_channel_id': None, 'premium_progress_bar_enabled': False, 'mfa_level': 0, 'default_message_notifications': 0, 'hub_type': None, 'profile': None, 'application_id': None, 'latest_onboarding_question_id': None, 'premium_subscription_count': 0, 'vanity_url_code': None, 'emojis': [], 'unavailable': False, 'max_stage_video_channel_users': 50, 'id': '1409226489517445161', 'name': 'Bot testing :)', 'soundboard_sounds': [], 'afk_timeout': 300, 'explicit_content_filter': 0, 'features': [], 'icon': None, 'system_channel_flags': 0, 'stickers': [], 'threads': [], 'owner_id': '902906414694031410', 'verification_level': 0, 'splash': None, 'premium_tier': 0, 'inventory_settings': None, 'description': None, 'guild_scheduled_events': [], 'rules_channel_id': None, 'large': False, 'max_video_channel_users': 25, 'region': 'deprecated', 'max_members': 25000000, 'owner_configured_content_level': 0, 'channels': [{'version': 1756056177715, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Tekstkanaler', 'id': '1409226491379712010', 'flags': 0}, {'version': 1756056177723, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Talekanaler', 'id': '1409226491379712011', 'flags': 0}, {'version': 1756056177784, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1409226491379712010', 'name': 'generelt', 'last_message_id': '1421823609411866654', 'id': '1409226491379712012', 'icon_emoji': {'name': '👋', 'id': None}, 'flags': 0}, {'version': 1756056177793, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1409226491379712011', 'name': 'Generelt', 'last_message_id': None, 'id': '1409226491379712013', 'icon_emoji': {'name': '🎙', 'id': None}, 'flags': 0, 'bitrate': 64000}], 'application_command_counts': {}, 'safety_alerts_channel_id': None, 'members': [{'user': {'username': 'Cat RNG', 'public_flags': 0, 'primary_guild': None, 'id': '1421814639259553812', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '6560', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': '3ef3376ebde7767acced363761e456f7'}, 'roles': ['1421823134775902342'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-09-28T11:37:31.647000+00:00', 'flags': 1, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'stage_instances': [], 'moderator_reporting': None, 'preferred_locale': 'en-US', 'public_updates_channel_id': None, 'lazy': True, 'activity_instances': [], 'nsfw_level': 0, 'nsfw': False, 'roles': [{'version': 1756056177695, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '2248473465835073', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '1409226489517445161', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1759059451620, 'unicode_emoji': None, 'tags': {'bot_id': '1421814639259553812'}, 'position': 1, 'permissions': '34816', 'name': 'Cat RNG', 'mentionable': False, 'managed': True, 'id': '1421823134775902342', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}], 'presences': [], 'member_count': 2, 'embedded_activities': [], 'voice_states': [], 'version': 1756056177809, 'home_header': None, 'incidents_data': None, 'banner': None, 'premium_features': None, 'system_channel_id': '1409226491379712012', 'discovery_splash': None}}
[2025-09-28 16:36:23] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-09-28 16:36:23] [DEBUG   ] discord.client: Dispatching event guild_available
[2025-09-28 16:36:25] [DEBUG   ] discord.client: Dispatching event ready
[2025-09-28 16:36:25] [DEBUG   ] discord.http: PUT https://discord.com/api/v10/applications/1421814639259553812/commands with [{"name":"rollcat","description":"Roll a cat!","type":1,"options":[],"nsfw":false,"dm_permission":true,"default_member_permissions":null,"contexts":null,"integration_types":null}] has returned 200
[2025-09-28 16:36:25] [DEBUG   ] discord.http: PUT /applications/{application_id}/commands has found its initial rate limit bucket hash (3e32a240d3716487d7d8f6dae6c54f6b).
[2025-09-28 16:36:25] [DEBUG   ] discord.http: PUT https://discord.com/api/v10/applications/1421814639259553812/commands has received [{'id': '1421821584297164852', 'application_id': '1421814639259553812', 'version': '1421821584297164853', 'default_member_permissions': None, 'type': 1, 'name': 'rollcat', 'name_localizations': None, 'description': 'Roll a cat!', 'description_localizations': None, 'dm_permission': True, 'contexts': None, 'integration_types': [0, 1], 'nsfw': False}]
[2025-09-28 16:36:26] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'INTERACTION_CREATE', 's': 3, 'op': 0, 'd': {'version': 1, 'type': 2, 'token': 'aW50ZXJhY3Rpb246MTQyMTg2ODE2MzY3MDM0Mzg1Mjo3bVJFR3FJSVg4dENoSEc4SThldGt2WDR1WEROcEJxMGZ1NkQyeFphYk5CcmNJcDJJRGpCRVl3dnZOcGRUaUVnazN1WUppWDBlQlRXOENsdlRuRklWcWtPbXppTktEc20wcHNoa2tpVDF2Q3loMU5kckxTZzQ5bHZ3a21tOWttcQ', 'member': {'user': {'username': 'bidombamb', 'public_flags': 64, 'primary_guild': None, 'id': '902906414694031410', 'global_name': 'Bidombamb', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': 'c1f5f36b4d904d9ba522c7ebe2c31e84'}, 'unusual_dm_activity_until': None, 'roles': [], 'premium_since': None, 'permissions': '9007199254740991', 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-08-24T17:22:57.414000+00:00', 'flags': 0, 'display_name_styles': None, 'deaf': False, 'communication_disabled_until': None, 'collectibles': None, 'banner': None, 'avatar': None}, 'locale': 'no', 'id': '1421868163670343852', 'guild_locale': 'en-US', 'guild_id': '1409226489517445161', 'guild': {'locale': 'en-US', 'id': '1409226489517445161', 'features': []}, 'entitlements': [], 'entitlement_sku_ids': [], 'data': {'type': 1, 'name': 'rollcat', 'id': '1421821584297164852'}, 'context': 0, 'channel_id': '1409226491379712012', 'channel': {'type': 0, 'topic': None, 'theme_color': None, 'rate_limit_per_user': 0, 'position': 0, 'permissions': '9007199254740991', 'parent_id': '1409226491379712010', 'nsfw': False, 'name': 'generelt', 'last_message_id': '1421823609411866654', 'id': '1409226491379712012', 'icon_emoji': {'name': '👋', 'id': None}, 'guild_id': '1409226489517445161', 'flags': 0}, 'authorizing_integration_owners': {'0': '1409226489517445161'}, 'attachment_size_limit': 10485760, 'application_id': '1421814639259553812', 'app_permissions': '2248473465835073'}}
[2025-09-28 16:36:26] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-09-28 16:36:26] [DEBUG   ] discord.client: Dispatching event interaction
[2025-09-28 16:36:27] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 4, 'op': 0, 'd': {'webhook_id': '1421814639259553812', 'type': 20, 'tts': False, 'timestamp': '2025-09-28T14:36:27.824000+00:00', 'position': 0, 'pinned': False, 'nonce': '1421868160058916864', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1421823134775902342'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-09-28T11:37:31.647000+00:00', 'flags': 1, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'interaction_metadata': {'user': {'username': 'bidombamb', 'public_flags': 64, 'primary_guild': None, 'id': '902906414694031410', 'global_name': 'Bidombamb', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': 'c1f5f36b4d904d9ba522c7ebe2c31e84'}, 'type': 2, 'name': 'rollcat', 'id': '1421868163670343852', 'command_type': 1, 'authorizing_integration_owners': {'0': '1409226489517445161'}}, 'interaction': {'user': {'username': 'bidombamb', 'public_flags': 64, 'primary_guild': None, 'id': '902906414694031410', 'global_name': 'Bidombamb', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': 'c1f5f36b4d904d9ba522c7ebe2c31e84'}, 'type': 2, 'name': 'rollcat', 'member': {'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-08-24T17:22:57.414000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1421868163670343852'}, 'id': '1421868166069489755', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': 'https://cdn2.thecatapi.com/images/82r.gif', 'components': [], 'channel_type': 0, 'channel_id': '1409226491379712012', 'author': {'username': 'Cat RNG', 'public_flags': 0, 'primary_guild': None, 'id': '1421814639259553812', 'global_name': None, 'display_name_styles': None, 'discriminator': '6560', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': '3ef3376ebde7767acced363761e456f7'}, 'attachments': [], 'application_id': '1421814639259553812', 'guild_id': '1409226489517445161'}}
[2025-09-28 16:36:27] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-09-28 16:36:27] [DEBUG   ] discord.client: Dispatching event message
[2025-09-28 16:36:27] [DEBUG   ] discord.webhook.async_: Webhook ID 1421868163670343852 with POST https://discord.com/api/v10/interactions/1421868163670343852/aW50ZXJhY3Rpb246MTQyMTg2ODE2MzY3MDM0Mzg1Mjo3bVJFR3FJSVg4dENoSEc4SThldGt2WDR1WEROcEJxMGZ1NkQyeFphYk5CcmNJcDJJRGpCRVl3dnZOcGRUaUVnazN1WUppWDBlQlRXOENsdlRuRklWcWtPbXppTktEc20wcHNoa2tpVDF2Q3loMU5kckxTZzQ5bHZ3a21tOWttcQ/callback has returned status code 200
[2025-09-28 16:36:27] [DEBUG   ] discord.client: Dispatching event app_command_completion
[2025-09-28 16:36:27] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_UPDATE', 's': 5, 'op': 0, 'd': {'webhook_id': '1421814639259553812', 'type': 20, 'tts': False, 'timestamp': '2025-09-28T14:36:27.824000+00:00', 'position': 0, 'pinned': False, 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1421823134775902342'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-09-28T11:37:31.647000+00:00', 'flags': 1, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'interaction_metadata': {'user': {'username': 'bidombamb', 'public_flags': 64, 'primary_guild': None, 'id': '902906414694031410', 'global_name': 'Bidombamb', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': 'c1f5f36b4d904d9ba522c7ebe2c31e84'}, 'type': 2, 'name': 'rollcat', 'id': '1421868163670343852', 'command_type': 1, 'authorizing_integration_owners': {'0': '1409226489517445161'}}, 'interaction': {'user': {'username': 'bidombamb', 'public_flags': 64, 'primary_guild': None, 'id': '902906414694031410', 'global_name': 'Bidombamb', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': 'c1f5f36b4d904d9ba522c7ebe2c31e84'}, 'type': 2, 'name': 'rollcat', 'member': {'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-08-24T17:22:57.414000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1421868163670343852'}, 'id': '1421868166069489755', 'flags': 0, 'embeds': [{'url': 'https://cdn2.thecatapi.com/images/82r.gif', 'type': 'image', 'thumbnail': {'width': 450, 'url': 'https://cdn2.thecatapi.com/images/82r.gif', 'proxy_url': 'https://images-ext-1.discordapp.net/external/WU8zPK-Pi5XgOjbqL8PWEUrkpzG4muqQFCVGR1MBi8A/https/cdn2.thecatapi.com/images/82r.gif', 'placeholder_version': 1, 'placeholder': 'YCgKFYRfape7qHVoZsh4dxKHYPV7', 'height': 329, 'flags': 32, 'content_type': 'image/gif'}, 'id': '1421868167281774673'}], 'edited_timestamp': None, 'content': 'https://cdn2.thecatapi.com/images/82r.gif', 'components': [], 'channel_type': 0, 'channel_id': '1409226491379712012', 'author': {'username': 'Cat RNG', 'public_flags': 0, 'primary_guild': None, 'id': '1421814639259553812', 'global_name': None, 'display_name_styles': None, 'discriminator': '6560', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': '3ef3376ebde7767acced363761e456f7'}, 'attachments': [], 'application_id': '1421814639259553812', 'guild_id': '1409226489517445161'}}
[2025-09-28 16:36:27] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-09-28 16:36:27] [DEBUG   ] discord.client: Dispatching event raw_message_edit
[2025-09-28 16:36:27] [DEBUG   ] discord.client: Dispatching event message_edit
[2025-09-28 16:36:34] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'INTERACTION_CREATE', 's': 6, 'op': 0, 'd': {'version': 1, 'type': 2, 'token': 'aW50ZXJhY3Rpb246MTQyMTg2ODE5NTY4NTQ3MDIzMDpNajhkUGlhb2ludW9BQmZSVFk1N2k0WDZEa3hvaVlCdkdTamo4TFYyZ2M2eWZyWmpSak5sTGNsVnZPQUpIZUJwT0ZRT3N2ZUtTQkUyQmJUYkJjR3ZnOXo4T0NBaksxRDZDa0N0U0xZRmF3R0VjVEtzSUk0czlIZFMzQjZmQkhSYg', 'member': {'user': {'username': 'bidombamb', 'public_flags': 64, 'primary_guild': None, 'id': '902906414694031410', 'global_name': 'Bidombamb', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': 'c1f5f36b4d904d9ba522c7ebe2c31e84'}, 'unusual_dm_activity_until': None, 'roles': [], 'premium_since': None, 'permissions': '9007199254740991', 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-08-24T17:22:57.414000+00:00', 'flags': 0, 'display_name_styles': None, 'deaf': False, 'communication_disabled_until': None, 'collectibles': None, 'banner': None, 'avatar': None}, 'locale': 'no', 'id': '1421868195685470230', 'guild_locale': 'en-US', 'guild_id': '1409226489517445161', 'guild': {'locale': 'en-US', 'id': '1409226489517445161', 'features': []}, 'entitlements': [], 'entitlement_sku_ids': [], 'data': {'type': 1, 'name': 'rollcat', 'id': '1421821584297164852'}, 'context': 0, 'channel_id': '1409226491379712012', 'channel': {'type': 0, 'topic': None, 'theme_color': None, 'rate_limit_per_user': 0, 'position': 0, 'permissions': '9007199254740991', 'parent_id': '1409226491379712010', 'nsfw': False, 'name': 'generelt', 'last_message_id': '1421868166069489755', 'id': '1409226491379712012', 'icon_emoji': {'name': '👋', 'id': None}, 'guild_id': '1409226489517445161', 'flags': 0}, 'authorizing_integration_owners': {'0': '1409226489517445161'}, 'attachment_size_limit': 10485760, 'application_id': '1421814639259553812', 'app_permissions': '2248473465835073'}}
[2025-09-28 16:36:34] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-09-28 16:36:34] [DEBUG   ] discord.client: Dispatching event interaction
[2025-09-28 16:36:34] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 7, 'op': 0, 'd': {'webhook_id': '1421814639259553812', 'type': 20, 'tts': False, 'timestamp': '2025-09-28T14:36:35.340000+00:00', 'position': 0, 'pinned': False, 'nonce': '1421868192246005760', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1421823134775902342'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-09-28T11:37:31.647000+00:00', 'flags': 1, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'interaction_metadata': {'user': {'username': 'bidombamb', 'public_flags': 64, 'primary_guild': None, 'id': '902906414694031410', 'global_name': 'Bidombamb', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': 'c1f5f36b4d904d9ba522c7ebe2c31e84'}, 'type': 2, 'name': 'rollcat', 'id': '1421868195685470230', 'command_type': 1, 'authorizing_integration_owners': {'0': '1409226489517445161'}}, 'interaction': {'user': {'username': 'bidombamb', 'public_flags': 64, 'primary_guild': None, 'id': '902906414694031410', 'global_name': 'Bidombamb', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': 'c1f5f36b4d904d9ba522c7ebe2c31e84'}, 'type': 2, 'name': 'rollcat', 'member': {'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-08-24T17:22:57.414000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1421868195685470230'}, 'id': '1421868197593874624', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': 'https://cdn2.thecatapi.com/images/adj.jpg', 'components': [], 'channel_type': 0, 'channel_id': '1409226491379712012', 'author': {'username': 'Cat RNG', 'public_flags': 0, 'primary_guild': None, 'id': '1421814639259553812', 'global_name': None, 'display_name_styles': None, 'discriminator': '6560', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': '3ef3376ebde7767acced363761e456f7'}, 'attachments': [], 'application_id': '1421814639259553812', 'guild_id': '1409226489517445161'}}
[2025-09-28 16:36:34] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-09-28 16:36:34] [DEBUG   ] discord.client: Dispatching event message
[2025-09-28 16:36:35] [DEBUG   ] discord.webhook.async_: Webhook ID 1421868195685470230 with POST https://discord.com/api/v10/interactions/1421868195685470230/aW50ZXJhY3Rpb246MTQyMTg2ODE5NTY4NTQ3MDIzMDpNajhkUGlhb2ludW9BQmZSVFk1N2k0WDZEa3hvaVlCdkdTamo4TFYyZ2M2eWZyWmpSak5sTGNsVnZPQUpIZUJwT0ZRT3N2ZUtTQkUyQmJUYkJjR3ZnOXo4T0NBaksxRDZDa0N0U0xZRmF3R0VjVEtzSUk0czlIZFMzQjZmQkhSYg/callback has returned status code 200
[2025-09-28 16:36:35] [DEBUG   ] discord.client: Dispatching event app_command_completion
[2025-09-28 16:36:35] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_UPDATE', 's': 8, 'op': 0, 'd': {'webhook_id': '1421814639259553812', 'type': 20, 'tts': False, 'timestamp': '2025-09-28T14:36:35.340000+00:00', 'position': 0, 'pinned': False, 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1421823134775902342'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-09-28T11:37:31.647000+00:00', 'flags': 1, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'interaction_metadata': {'user': {'username': 'bidombamb', 'public_flags': 64, 'primary_guild': None, 'id': '902906414694031410', 'global_name': 'Bidombamb', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': 'c1f5f36b4d904d9ba522c7ebe2c31e84'}, 'type': 2, 'name': 'rollcat', 'id': '1421868195685470230', 'command_type': 1, 'authorizing_integration_owners': {'0': '1409226489517445161'}}, 'interaction': {'user': {'username': 'bidombamb', 'public_flags': 64, 'primary_guild': None, 'id': '902906414694031410', 'global_name': 'Bidombamb', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': 'c1f5f36b4d904d9ba522c7ebe2c31e84'}, 'type': 2, 'name': 'rollcat', 'member': {'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-08-24T17:22:57.414000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1421868195685470230'}, 'id': '1421868197593874624', 'flags': 0, 'embeds': [{'url': 'https://cdn2.thecatapi.com/images/adj.jpg', 'type': 'image', 'thumbnail': {'width': 768, 'url': 'https://cdn2.thecatapi.com/images/adj.jpg', 'proxy_url': 'https://images-ext-1.discordapp.net/external/ZBrGQD6Zi-qR0G-oVi1FuhzMbALGBQsFN5MPxRwCfj0/https/cdn2.thecatapi.com/images/adj.jpg', 'placeholder_version': 1, 'placeholder': 'YwgODwD3RmiJd4h2dYl4d2hmiFB3CXUJ', 'height': 803, 'flags': 0, 'content_type': 'image/jpeg'}, 'id': '1421868199149965334'}], 'edited_timestamp': None, 'content': 'https://cdn2.thecatapi.com/images/adj.jpg', 'components': [], 'channel_type': 0, 'channel_id': '1409226491379712012', 'author': {'username': 'Cat RNG', 'public_flags': 0, 'primary_guild': None, 'id': '1421814639259553812', 'global_name': None, 'display_name_styles': None, 'discriminator': '6560', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': '3ef3376ebde7767acced363761e456f7'}, 'attachments': [], 'application_id': '1421814639259553812', 'guild_id': '1409226489517445161'}}
[2025-09-28 16:36:35] [DEBUG   ] discord.client: Dispatching event socket_event_type
